Input,Prediction,Reference
"Home Electrical Circuit Breaker & Panel Parts[SEP]Home Circuit Breaker Fuses[SEP]Winter Sports Coats, Jackets & Vests",Root Concept,Root Concept
Collectible Islamic Prayer Rugs[SEP]Collectible Islamic Amulets & Pendants[SEP]Industrial Cam Followers,Root Concept,Root Concept
Car & Truck Center & Overhead Console Parts[SEP]Car & Truck Center & Overhead Consoles[SEP]Victorian Trade Cards,Root Concept,Root Concept
Collectible Tagines[SEP]Collectible Woks[SEP]DJ Microphones,Root Concept,Root Concept
Lawn Mower Accessories[SEP]Lawn Mowers[SEP]Jose Cuervo Advertising,Root Concept,Root Concept
Collectible Japanese Kimonos (1900-Now)[SEP]Indian Collectibles (1900-Now)[SEP]Uglydolls Stuffed Animals,Root Concept,Root Concept
Magic Toys & Magician Supplies[SEP]Other Classic Toys[SEP]Training Manikins & Patient Simulators,Root Concept,Root Concept
Other Watch Parts[SEP]Watch Bezels & Inserts[SEP]Collectible British Vehicle Posters,Root Concept,Root Concept
Air Curtain Merchandisers[SEP]Commercial Undercounter Refrigerators & Freezers[SEP]Artists' Stretched Canvas & Canvas Boards,Root Concept,Root Concept
"Snap & Glue Traps & Boxes[SEP]Catch & Release Traps[SEP]Motorcycle & Scooter Seats, Parts & Accessories",Root Concept,Root Concept
Warhammer Fantasy Battle Spare Bits & Pieces[SEP]Other Warhammer Fantasy Battle Items[SEP]Fair & Exposition Collectibles,Root Concept,Root Concept
Other Makeup Tools & Accessories[SEP]Makeup Pencil Sharpeners[SEP]Peruvian Collectibles,Root Concept,Root Concept
Industrial Oil & Gas Drilling Equipment[SEP]Industrial Oil & Gas Dispensers & Accessories[SEP]Audi RS4,Root Concept,Root Concept
Crossbows[SEP]Recurve Bows[SEP]Other Microscope Parts & Accessories,Root Concept,Root Concept
Motorcycle & Scooter Control Extenders[SEP]Motorcycle & Scooter Handlebars[SEP]Action Figures Wholesale Lots,Root Concept,Root Concept
Collectible Chrome Metalware[SEP]Collectible Pewter Metalware[SEP]Cycling Hydration Packs,Root Concept,Root Concept
Other Skateboarding Clothing[SEP]Women's Skateboarding & Longboarding Footwear[SEP]Automotive Antifreeze,Root Concept,Root Concept
Metalworking Sanding Sponges[SEP]Metalworking Sanding Pads[SEP]Car & Truck Steering Wheel Locks,Root Concept,Root Concept
Unisex Fragrances[SEP]Fragrances for Women[SEP]Food Choppers,Root Concept,Root Concept
Bird Baths[SEP]Hedgehog Houses[SEP]Motorcycle & Scooter Horns & Horn Covers,Root Concept,Root Concept
Industrial Dust Collector Bags & Cartridges[SEP]Fluid Filtration Equipment & Supplies[SEP]Dodge Auto Advertising,Root Concept,Root Concept
"U2 Photos[SEP]U2 Concert Memorabilia[SEP]Industrial Brushes, Rollers & Trays",Root Concept,Root Concept
Levels[SEP]Thermometers[SEP]Plant Fossils,Root Concept,Root Concept
Car & Truck Particulate Filters[SEP]Car & Truck Fuel Vapor Canisters[SEP]Industrial Tab-Lock & Safety Pins,Root Concept,Root Concept
Roller Conveyors[SEP]Belt Conveyors[SEP]Walt Disney World Patches & Pins (1968-Now),Root Concept,Root Concept
"Vintage Flutes[SEP]Vintage Clarinets[SEP]Bath Mats, Rugs & Toilet Covers",Root Concept,Root Concept
Color Movie Photos (1950-1959)[SEP]Black & White Movie Photos (1950-1959)[SEP]Bridal Storage Bags & Preservation,Root Concept,Root Concept
Ducati Multistrada[SEP]Ducati Superbike[SEP]Handcrafted Dolls & Toys,Root Concept,Root Concept
Vintage Sports Ticket Stubs[SEP]Vintage Sports Shirts[SEP]Pen & Writing Instrument Collectibles Price Guides & Publications,Root Concept,Root Concept
Metalworking Rules[SEP]Metalworking Digital Calipers[SEP]Disney T-Shirts (1968-Now),Root Concept,Root Concept
Dairy Advertising Signs & Plaques[SEP]Other Dairy Advertising[SEP]Car & Truck Engine Coolant Hoses,Root Concept,Root Concept
Collectible Obsolete International Police Badges[SEP]Collectible Obsolete Canada Police Badges[SEP]Motorcycle & Scooter Engine Guards & Highway Bars,Root Concept,Root Concept
Model Railroad & Train Boosters[SEP]Model Railroad & Train Transformers[SEP]Canadian Tokens (1861-Now),Root Concept,Root Concept
Drywall Panels[SEP]Inspection Flaps & Doors for Drywall Construction[SEP]Reading & Writing Toys,Root Concept,Root Concept
Decorative Spears[SEP]Decorative Shields[SEP]Commercial Pad Printing Equipment,Root Concept,Root Concept
Collectible Medical Papers[SEP]Other Medical & Dentistry Collectibles (1930-Now)[SEP]Cornets,Root Concept,Root Concept
Boys' Activewear Hoodies & Sweatshirts[SEP]Boys' Tracksuits & Sets[SEP]Piano Stools & Benches,Root Concept,Root Concept
Industrial Paper Towel Dispensers[SEP]Industrial Soap Dispensers[SEP]Other Vehicle Trailers,Root Concept,Root Concept
Industrial Veneer Sheets & Rolls[SEP]Industrial Lumber Wood[SEP]Guns N' Roses Posters,Root Concept,Root Concept
Football Pads[SEP]Vintage Football Equipment[SEP]Commercial Food Packaging Wraps & Liners,Root Concept,Root Concept
Collectible Non-Sport Sticker Singles[SEP]Collectible Non-Sport Sticker Lots[SEP]Men's Suits & Blazers,Root Concept,Root Concept
Internal Hard Disk Drives[SEP]External Hard Disk Drives[SEP]Collectible Christian Rosaries,Root Concept,Root Concept
"Other Car & Truck Starters, Alternators, ECUs & Wiring[SEP]Car & Truck Battery Accessories[SEP]Girls' Shorts",Root Concept,Root Concept
"Mounted Film Cells[SEP]Unmounted Film Cells[SEP]ATV, Side-by-Side & UTV Winch Accessories",Root Concept,Root Concept
"Car & Truck Liftgates[SEP]Car & Truck Door Seals[SEP]Hockey Goalie Jocks, Jills & Cups",Root Concept,Root Concept
Bank of Canada Paper Money[SEP]Canadian Tire Money[SEP]Dance & Electronic Music Memorabilia,Root Concept,Root Concept
Horse Shampoo & Conditioner[SEP]Horse Wormers & Health Supplies[SEP]Marine Audio in Consumer Electronics,Root Concept,Root Concept
Craft Framing Mat Cutting Tools & Supplies[SEP]Other Craft Framing & Matting Supplies[SEP]Wild Animal Collectibles,Root Concept,Root Concept
Winter Sports Tuning Tools[SEP]Winter Sports Bags & Backpacks[SEP]Veterans' Groups Collectibles,Root Concept,Root Concept
Cycling Pants[SEP]Cycling Wristbands & Headbands[SEP]Baby Feeding Formulas,Root Concept,Root Concept
Men's Wetsuits[SEP]Wetsuit & Drysuit Rash Guards[SEP]Cadillac CTS,Root Concept,Root Concept
Texaco Miniatures[SEP]Texaco Trucks & Cars[SEP]Other Plastic Processing Equipment & Supplies,Root Concept,Root Concept
Woodworking Handheld Sanders[SEP]Woodworking Floor Sanders[SEP]Brachiopod Fossils,Root Concept,Root Concept
Commercial Drip & Drain Pans[SEP]Other Commercial Draft Beer Dispensing[SEP]Power Winches,Root Concept,Root Concept
"Sherry, Port & Fortified Wine[SEP]Wine[SEP]Jeep Comanche",Root Concept,Root Concept
"Leathercraft Buckles[SEP]Leathercraft Studs, Rivets & Tacks[SEP]Guitar Parts & Accessories",Root Concept,Root Concept
"Stroller Covers, Canopies & Umbrellas[SEP]Other Stroller Accessories[SEP]Auto Performance Cylinder Heads",Root Concept,Root Concept
"Cell Phone Chargers & Holders[SEP]Cell Phone Faceplates, Decals & Stickers[SEP]Home Portable Refrigerant Recovery Machines",Root Concept,Root Concept
"Other Paint, Stain & Varnish[SEP]Shellac[SEP]Youth Exercise Socks",Root Concept,Root Concept
Car & Truck HVAC Blower Motor & Wheel[SEP]Car & Truck HVAC Blower Module & Resistor[SEP]Strength Training Weighted Vests,Root Concept,Root Concept
Rap & Hip Hop Postcards & Collector Cards[SEP]Rap & Hip Hop Stickers & Decals[SEP]Metalworking Software,Root Concept,Root Concept
Men's Traditional German Jackets & Vests[SEP]Men's Traditional German Lederhosen & Pants[SEP]Vintage Resonator Guitars,Root Concept,Root Concept
Pink Floyd Concert Memorabilia[SEP]Pink Floyd Novelties[SEP]Ohio Souvenirs & Memorabilia,Root Concept,Root Concept
Winter Sports Sweaters[SEP]Winter Sports Helmets[SEP]Pump Sprayers,Root Concept,Root Concept
Godzilla Toys[SEP]Other Monster Toys[SEP]Comic Book & Manga Collectible Props & Replicas,Root Concept,Root Concept
Commercial Fast Food Baskets[SEP]Commercial Gravy & Sauce Boats[SEP]Paintball Barrels,Root Concept,Root Concept
"Car & Truck Exhaust Pipes & Tips[SEP]Car & Truck Heat Shields, Wraps & Sleeves[SEP]Volkswagen Auto Advertising",Root Concept,Root Concept
"Girls' Activewear Skirts & Skorts[SEP]Girls' Activewear Pants[SEP]ATV, Side-by-Side & UTV Splash Guards & Mud Flaps",Root Concept,Root Concept
Webkinz & Lil'Kinz Clothing[SEP]Steiff Stuffed Animals (1946-1969)[SEP]Industrial Crimpers,Root Concept,Root Concept
Hunting Blinds[SEP]Hunting Camouflage Materials[SEP]Original Current Military Patches (2001-Now),Root Concept,Root Concept
Breast Pump Parts[SEP]Other Breastfeeding Supplies[SEP]In-Car Screens & Monitors,Root Concept,Root Concept
Women's Traditional German Pants[SEP]Men's Traditional German Accessories[SEP]GMC Suburban,Root Concept,Root Concept
"Kitchen Sinks[SEP]Other Kitchen Fixtures[SEP]Electric ATV, SxS & UTV Converters & Inverters",Root Concept,Root Concept
Collectible Pie Plates[SEP]Collectible Baking Forms[SEP]Inline & Roller Skating Protective Gear,Root Concept,Root Concept
Collectible Brochures (1940-1959)[SEP]Collectible Brochures (Pre-1940)[SEP]Devo Memorabilia,Root Concept,Root Concept
Photo Studio Softboxes & Diffusers[SEP]Photo Studio Reflectors[SEP]Other Inspection Equipment & Components,Root Concept,Root Concept
Printed Circuit Boards (PCBs)[SEP]Breadboards & Pinboards[SEP]Motorcycle & Scooter Air Filters,Root Concept,Root Concept
World Stocks & Bonds[SEP]European Stocks & Bonds[SEP]Industrial Plasma Cutters,Root Concept,Root Concept
"Bridal Slips, Petticoats & Hoops[SEP]Girls' Formal Wear[SEP]Car Audio & Video Interconnect Cables",Root Concept,Root Concept
Motorcycle & Scooter Differentials[SEP]Motorcycle & Scooter Differential Parts[SEP]Industrial Lumber Wood,Root Concept,Root Concept
Collectible Warner Brothers Pez Dispensers[SEP]Collectible Disney Character Pez Dispensers[SEP]Pig/Hog Supplies,Root Concept,Root Concept
Soda Cans[SEP]Soda Patches[SEP]Pipe & Hose Adapters,Root Concept,Root Concept
Guitar Effects Pedal Power Supplies[SEP]Guitar Multi-Effects Pedals[SEP]Collectible Spoon Rests,Root Concept,Root Concept
Automotive Impact Wrenches[SEP]Automotive Air Sanders[SEP]Merchandising Glass Door Refrigerators & Freezers,Root Concept,Root Concept
Industrial Arbors[SEP]Industrial Knurling Tools[SEP]Automotive Scratch Repair Kits & tools,Root Concept,Root Concept
Snap & Glue Traps & Boxes[SEP]Rodent Traps & Boxes[SEP]Other Collectible Casino Chip Sets,Root Concept,Root Concept
Bed & Waterbed Accessories[SEP]Bed Headboards & Footboards[SEP]Worldwide Postal History Stamps,Root Concept,Root Concept
Kawasaki Ninja[SEP]Kawasaki Vulcan[SEP]String Instrument Rests & Pads,Root Concept,Root Concept
Men's Baseball & Softball Jackets[SEP]Men's Baseball & Softball Belts[SEP]Lawn Mower Accessories,Root Concept,Root Concept
"Home Electrical Boxes[SEP]Electrical Cable & Wire Staples[SEP]Puzzle Storage, Mats & Glue",Root Concept,Root Concept
Jethro Tull Memorabilia[SEP]Jane's Addiction Memorabilia[SEP]Collectible Buddhist Prayer Flags,Root Concept,Root Concept
Collectible Tobacco Tins[SEP]Collectible Cigar Cutters & Scissors[SEP]Sealed Sports Trading Card Packs,Root Concept,Root Concept
Car & Truck A/C Receiver Dryers & Accumulators[SEP]Car & Truck Additional Blower & Fan Parts[SEP]Overhead Projectors,Root Concept,Root Concept
Metalworking Handheld Sanders[SEP]Metalworking Floor Sanders[SEP]Collectible Glass Beer Bottles,Root Concept,Root Concept
Mercedes-Benz Cars & Trucks[SEP]Peugeot Cars & Trucks[SEP]US Souvenirs & Memorabilia,Root Concept,Root Concept
Bakeware Sets[SEP]Other Bakeware & Ovenware[SEP]Sewing Toggle Buttons,Root Concept,Root Concept
Bicycle Baskets[SEP]Bicycle Locks & Security[SEP]Tatting & Lacemaking Shuttles,Root Concept,Root Concept
Tokyo Disneyland Patches & Pins (1968-Now)[SEP]Walt Disney World Patches & Pins (1968-Now)[SEP]Automotive Clear Coat Paint,Root Concept,Root Concept
Bill Graham Tour Programs[SEP]Bill Graham Ads & Flyers[SEP]Other Kitchen Storage Equipment,Root Concept,Root Concept
Other Party Supplies[SEP]Party Gags & Tricks[SEP]Car & Truck Additional Brake Sensors & Switches,Root Concept,Root Concept
NIM & CAMAC Modules[SEP]NIM & CAMAC Bins/Crates[SEP]Swan Collectibles,Root Concept,Root Concept
New Kids on the Block Memorabilia[SEP]Nickelback Memorabilia[SEP]Subaru Impreza,Root Concept,Root Concept
Guns N' Roses Memorabilia[SEP]Godsmack Memorabilia[SEP]Drives & Motor Controls,Root Concept,Root Concept
Eyeshadow Products[SEP]Eyebrow Definition & Liners[SEP]Everything Else,Makeup Products,Root Concept
Cambodia Coins[SEP]Other World Coins[SEP]Niger Stamps,Root Concept,Root Concept
Other Beanbag Plushies[SEP]Ty Pillow Pals Beanbag Plushies[SEP]Borescopes & Fiberscopes,Root Concept,Root Concept
Gun Cleaning Supplies[SEP]Gun Vises[SEP]Motorcycle & Powersports Eyewear,Root Concept,Root Concept
Original WW I British Photographs[SEP]Original WW I British Badges[SEP]Wedding Tableware & Serveware,Root Concept,Root Concept
Electronic Learning Toy Cases & Accessories[SEP]Other Electronic Learning Toys[SEP]Sprints Asphalt Oval Racing Parts,Root Concept,Root Concept
Installation & Support Services[SEP]Credit Services[SEP]PLC Temperature Modules,Root Concept,Root Concept
Lincoln Town Car[SEP]Lincoln MKZ/Zephyr[SEP]Solomon Islands Stamps (1893-1978),Root Concept,Root Concept
Lockout/Tagout (LOTO) Covers[SEP]Other Lockout/Tagout (LOTO)[SEP]Chrysler Concorde,Root Concept,Root Concept
Other Sports Awards[SEP]Sports Medals[SEP]Other Antiques Restoration & Care,Root Concept,Root Concept
"Other Vintage Computers, Parts & Accessories[SEP]Vintage Computer Parts & Accessories[SEP]Ostomy Aids",Root Concept,Root Concept
"Other Boxing & Martial Arts Clothing, Shoes & Accessories[SEP]Boxing & Martial Arts Belts & Sashes[SEP]Projector Screens",Root Concept,Root Concept
Commercial Truck Ducts & Vents[SEP]Commercial Truck Heaters[SEP]Medical Scissors & Shears,Root Concept,Root Concept
Movie Props[SEP]Theater Memorabilia Price Guides[SEP]Other Commercial Truck Wheel & Tire Components,Root Concept,Root Concept
Cue Balls[SEP]Billiard Cue Care & Tip Tools[SEP]Color Movie Photos (1960-1969),Root Concept,Root Concept
"Food Mill[SEP]Mortar & Pestles[SEP]ATV, Side-by-Side & UTV Distributors",Root Concept,Root Concept
Telescope Mounts[SEP]Other Telescope Parts[SEP]Scotch Whisky Advertising Collectibles,Root Concept,Root Concept
Original Current Air Force Patches[SEP]Original Current Army Patches[SEP]Hair Care & Styling Sets & Kits,Root Concept,Root Concept
Youth Baseball & Softball Jackets[SEP]Youth Baseball & Softball Socks[SEP]Korean Militaria (1950-1953),Root Concept,Root Concept
Industrial Concrete Cut-Off Saws[SEP]Industrial Circular Saws[SEP]Snowmobile Decals & Stickers,Root Concept,Root Concept
Baseball & Softball Count Indicators & Umpire Sets[SEP]Baseball & Softball Base Sets & Home Plates[SEP]Motorcycle & Scooter Fork Springs,Root Concept,Root Concept
Dwarfs & Legends Dirt Oval Racing Parts[SEP]Street Stock Dirt Oval Racing Parts[SEP]Hobby RC Building Materials,Root Concept,Root Concept
Men's Soccer Shoes & Cleats[SEP]Other Soccer Clothing & Accessories[SEP]Stage Backdrops & Folding Screens,Root Concept,Root Concept
Other Magic Collectibles[SEP]Collectible Magic Posters & Prints[SEP]Airbrush Tanning Compressors,Root Concept,Root Concept
"Scrubber, Buffer & Polisher Brushes[SEP]Corded Scrubbers, Buffers & Polishers[SEP]Other Kart Racing Parts",Root Concept,Root Concept
Archery Compound Bows[SEP]Other Archery Bows[SEP]Kitchen Scoops,Root Concept,Root Concept
Motorcycle & Scooter Tank Bags & Flanges[SEP]Motorcycle & Scooter Onboard Tool Bags & Repair Kits[SEP]Empty Non-Sport Trading Card Packaging,Root Concept,Root Concept
Commercial Ship & Tug Collectibles[SEP]Cunard Ship Collectibles[SEP]Martial Arts Gloves,Root Concept,Root Concept
Collectible Horse Salt & Pepper Shakers[SEP]Collectible Horse Cards & Notecards[SEP]Forestry Equipment & Supplies,Root Concept,Root Concept
Reproduction Movie Posters (1950-1959)[SEP]Reproduction Movie Posters (2000-Now)[SEP]US Native American Beads & Beadwork (1800-1934),Root Concept,Root Concept
Industrial Drywall Plaster & Joint Compounds[SEP]Industrial Drywall Panels[SEP]Collectible Judaic Images,Root Concept,Root Concept
TV Memorabilia Original Posters (2000-Now)[SEP]TV Memorabilia Original Posters (1970-1979)[SEP]West & Unified Germany Coins (1949-Now),Root Concept,Root Concept
Football Protective Gear[SEP]Other Football Clothing & Accessories[SEP]Original WW I US Posters & Prints,Root Concept,Root Concept
Telescopes[SEP]Other Telescope Parts[SEP]Winter Olympics Autographed Items,Root Concept,Root Concept
Bridal Storage Bags & Preservation[SEP]Bridal Jewelry[SEP]Commercial Ice Cream Equipment Parts & Accessories,Root Concept,Root Concept
Industrial Welding Covers[SEP]Industrial Welding Blankets[SEP]Beetle Collectibles,Root Concept,Root Concept
Geocaching Containers[SEP]Geocaching Labels & Decals[SEP]Cat Doors & Flaps,Root Concept,Root Concept
Industrial Collet Sleeves[SEP]Industrial Milling Chuck Collets[SEP]Collectible Casino Themed Lighters,Root Concept,Root Concept
Vintage Construction Machine Parts & Tools[SEP]Other Vintage Construction Equipment[SEP]Eyeglass Frames,Root Concept,Root Concept
Commercial Food Wells[SEP]Commercial Heat Lamps & Strip Warmers[SEP]Slot Car Accessories,Root Concept,Root Concept
Cadillac ELR[SEP]Cadillac XTS[SEP]Collectible Military Surplus Uniforms & BDUs,Root Concept,Root Concept
Table Linen Sets[SEP]Placemats[SEP]Medical Compression Garments,Root Concept,Root Concept
Glassware & Plasticware[SEP]Micro Applicators[SEP]Other Baby Proofing,"Kitchen, Dining & Bar Supplies",Root Concept
Pest Control Bait & Stations[SEP]Insect Traps[SEP]Billiard Cue Cases,Root Concept,Root Concept
Wind Turbines & Kits[SEP]Wind Power Accessories[SEP]Men's Collar Tips,Root Concept,Root Concept
"Hobby RC Antennas[SEP]Hobby RC Flight Recorder, Telemetry Systems & Accessories[SEP]Honda Accord Crosstour",Root Concept,Root Concept
Contemporary Manufacture Diecast Boats & Ships[SEP]Vintage Manufacture Diecast Boats & Ships[SEP]DJ Turntable Buttons & Knobs,Root Concept,Root Concept
Niue Stamps (1974-Now)[SEP]Vanuatu Stamps (1980-Now)[SEP]Safety Whistles,Root Concept,Root Concept
Custom Built Pro Street Motorcycles[SEP]Custom Built Chopper Motorcycles[SEP]US Native American Pottery (Pre-1600),Root Concept,Root Concept
Cocktail & Mixes[SEP]Tequila & Agave Drinks[SEP]Pottery & Glass Creamers,Root Concept,Root Concept
"Industrial Telecommunication Wires & Cables[SEP]Cable Cleats, Clamps & Ties[SEP]AC/DC Novelties",Electrical Equipment & Supplies,Root Concept
